Topic_No,Topic_Perc_Contrib,Topic_Keywords,Text,Clean_Text
7,0.6226,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force","Yes, several journalists have been killed in the area around Kiev since 28 Feb. And that’s what journalists do, report on topical subjects. Oz also reported from Syria. No one is asking you to celebrate him, but you don’t have to denigrate someone for doing their job.",journalist kill area report topical subject report celebrate denigrate job
6,0.3294,"country, day, attack, lose, leader, sanction, death, good, tell, read","Russian war crimes are faaaaar worse than anything Ukraine is doing. But, Ukraine is defending themselves from invasion. They are doing whatever it takes to kneecap Russia and get their land back.",russian crime faaaaar bad defend invasion take land
4,0.3656,"ukraine, war, nazi, https, call, support, happen, fact, side, win","Which president enabled Putin by trying to weaken NATO? Which president called Putin a ""war criminal"" and is helping Ukraine defeat Russia?",enable weaken call criminal help defeat
2,0.3521,"https, military, medium, shell, power, missile, claim, strike, bomb, government","Hey if USA did not prolonged WW2, nazi Germany would exterminate all of us in Central Europe. Wake up or go to Ukraine to se what’s happening. #boycottPinkFloyd",prolong wake happen
0,0.5119,"invasion, money, support, soldier, leave, year, start, direct, pay, shit","So I only properly starting Twitter the night of the invasion. But here was something I put on Facebook a while before. I am happy to say I was wrong in some key aspects, in which I wasn’t alone (mainly about RUAF). 1/n https://t.co/4C5PHMKUAC",properly start invasion facebook happy wrong key aspect ruaf https phmkuac
3,0.3102,"https, lie, troop, hold, ukraine, vote, guy, save, real, speak","""The United States will provide an additional $4.5 billion to Ukraine s government, bringing its total budgetary support since Russia s February invasion to $8.5 billion, the U.S. Agency for International Development said on Monday."" https://t.co/s1TNrMBImF",united_state additional ukraine government bring total budgetary support invasion tnrmbimf
3,0.332,"https, lie, troop, hold, ukraine, vote, guy, save, real, speak",Arkansas judge found dead in lake after he went missing on a family trip https://t.co/30Q6honXAD #Biden #CNN #India #World #saudi #twitter #Movie #BB #Breaking #StrongerTogether #Vote #News #China #USA #UK #Russia #Ukraine #WW3 #Putin #Sweden,dead lake miss family trip https news sweden
3,0.4163,"https, lie, troop, hold, ukraine, vote, guy, save, real, speak",What lies at the root of the conflict in #Ukraine? Check out the responses in this episode of #HumansOfRaisina. #UkraineCrisis #RussiaUkraine #Russia https://t.co/c5D0L9buXX,lie root check response ukrainecrisis russiaukraine https buxx
1,0.4667,"time, fight, https, join, state, land, wrong, find, economy, invade",US announces sanctions against currency mixer Tornado Cash https://t.co/34eeh2XC5O,announce sanction currency mixer tornado cash https
6,0.349,"country, day, attack, lose, leader, sanction, death, good, tell, read","The Best Week of the Year Has Never Been More Important The world today is in crisis. Military aggression in Ukraine has escalated into global economic war, with nations forced to choose between following the https://t.co/gMbrFdMvpo",week year crisis military aggression escalate global economic war nation force choose https gmbrfdmvpo
4,0.6808,"ukraine, war, nazi, https, call, support, happen, fact, side, win","The FBI just raided Mar-a-lago. Using a warrant to get into and search Trump s private safe, and are now occupying the premises of the NAZI COMMUMISTS. Fixed it for you.* You re welcome, Bud. https://t.co/KacBpBSBi2",raid search trump private safe occupying premise nazi commumist fix bud https kacbpbsbi
0,0.2697,"invasion, money, support, soldier, leave, year, start, direct, pay, shit","If Hillary Clinton had been elected president, Putin would never have invaded Ukraine. God knows how much dirt Russia has on Trump and how much money, they have given him. Or, lent him….. .",elect invade trump money lend
5,0.6536,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official","You may be right, just feel like we re vulnerable because Putin and China are not exactly enemies. Stuff is getting heated around the world, we really did not need this. What pisses me off most is you know most of the Pelosi visit had to do with her insider trading and Nvidia.",feel vulnerable heat piss pelosi visit insider trading nvidia
6,0.2981,"country, day, attack, lose, leader, sanction, death, good, tell, read","Putin told you that, right?",tell
2,0.3539,"https, military, medium, shell, power, missile, claim, strike, bomb, government",Roger Waters Destroys CNN Host About Ukraine &amp;amp; Taiwan https://t.co/irzc0GvYoZ,water destroy host ukraine amp gvyoz
7,0.5235,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force",Explosions Reported at Russian Airbase in Crimea https://t.co/ns8VCfgUt6 #news,explosion report russian n news
6,0.5939,"country, day, attack, lose, leader, sanction, death, good, tell, read",It is an outrage that the FBI has become the Gestapo wing of the Nazi Democrat Party. POS FBI director Wray MUST be fired for allowing politics to sway his judgement. Wray has lost all objectivity. WRAY RESIGN,gestapo wing director wray fire allow politic sway lose objectivity wray resign
5,0.4147,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official","For the nazi America First Party maybe, but for true Americans, it’s back to Justice for All Accountability for everyone. So GFY!",accountability gfy
1,0.3783,"time, fight, https, join, state, land, wrong, find, economy, invade",Lol kharkiv  seige  barley has more than the odd suburb in mainline artillary range now - fighting there isn t even in the outer most suburbs let alone kharkiv so how can it be a seige of that city 🙈🙈. Its been mapped at 20-25% by about everyone: either way FAR less than Mar 22,range fight outer suburb map
6,0.4998,"country, day, attack, lose, leader, sanction, death, good, tell, read",I thought these days were long gone - What have you actually done to change the narrative ? https://t.co/i7pdd5jkhQ via ,think day long change narrative
0,0.3471,"invasion, money, support, soldier, leave, year, start, direct, pay, shit","All the best, atleast you leaving propaganda.",atleast leave propaganda
3,0.324,"https, lie, troop, hold, ukraine, vote, guy, save, real, speak","New footage of Russian airbase in Novofedorivka, #Crimea, 1 Su-24M attack aircraft was totally destroyed due to a ""violation of fire safety requirements"". #Ukraine #Russia https://t.co/MqlOPQrVcE",footage russian airbase attack totally destroy violation fire safety requirement ukraine
5,0.3875,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official",This is what billions and billions of dollars of propaganda will do to people...,billion billion dollar propaganda people
0,0.4434,"invasion, money, support, soldier, leave, year, start, direct, pay, shit","You re not a jackass, you re an ass of the jack typology. Webster s definition of ""raid"": ""a sudden invasion by officers of the law""",definition raid sudden invasion officer law
5,0.3919,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official","We accept every ukrainian refugee of any sex, religion etc. without measuring their sculls, but we don,t want supporters or ignorants of massmurder.",accept ukrainian refugee sex religion measuring scull supporter ignorant massmurder
7,0.3619,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force","To declare a victory there must have been a war. I was not aware that #NATO is at war. Is #russia at war? I thought all the explosions in the east was selfinflicted, russian soldiers smoking near ammodepot’s",war aware think explosion selfinflicte russian soldier smoking ammodepot
5,0.3875,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official","Ukraine and Monkey Pox stopped bringing in the add revenue, it seems.",pox stop bring add revenue
2,0.5893,"https, military, medium, shell, power, missile, claim, strike, bomb, government",betrayed our allies like a crook https://t.co/GGXKzmRHj1,betray ally crook https ggxkzmrhj
2,0.5337,"https, military, medium, shell, power, missile, claim, strike, bomb, government","Then, in the Ming and Qing Dynasties, with the invasion of foreign powers, Taiwan s political power began to fluctuate",ming qe dynastie invasion foreign power political power begin fluctuate
4,0.5154,"ukraine, war, nazi, https, call, support, happen, fact, side, win",After 2 parties in 3 weekends 🎉 🎊 A holiday ☀️ 🍹 Playing at Top Gun ✈️ Dressing up like a soldier 🪖 Boris Johnson remembers the war in Ukraine Can’t think why Polish PM has no time for Johnson https://t.co/kvoZO0L0oG,party weekend holiday play top gun dressing soldier remember
5,0.3644,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official","Pathetic, idiotic, uninformed, self righteous, propaganda spreading wastes of space these people are. Wasting good nutritious food when people are starving because they can’t afford it, just to let people know that that THEY are vegans. They should by tied up and stoned😡😡",pathetic idiotic uninformed righteous propaganda spread waste space people waste good nutritious food people starve afford people vegan tie stone
7,0.3356,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force",So this nuclear power plant that Putin has shelled and land mined and has now broken from what I know the way the wind blows there the clouds of nuclear poison will blow right over to Russia So in essence he s hurting his own people the most and I m sure they have no idea,shell land mine broken wind blow nuclear poison blow essence hurt people idea
4,0.3388,"ukraine, war, nazi, https, call, support, happen, fact, side, win",Only to give all that to Ukraine? Asking for a friend,friend
7,0.5997,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force","""The economic outcomes of the recent Turkish-Russian summit and a string of financial moves by the Russian builder of a nuclear power plant in Turkey have come as fresh signs that Turkey is becoming a safe harbor for sanctions-hit Russian capital"" https://t.co/m9BDpCLiJB",economic outcome turkish russian summit stre financial move russian builder nuclear power_plant turkey fresh sign turkey safe harbor sanction hit russian capital bdpclijb
6,0.4496,"country, day, attack, lose, leader, sanction, death, good, tell, read",the enemy was bent upon imposing a propaganda war on the country. #StopPropaganda https://t.co/B4G2J7HESU,bent impose propaganda war country hesu
0,0.5159,"invasion, money, support, soldier, leave, year, start, direct, pay, shit",JobBoy supports Ukraine. Ukrainians make $1 by tweeting this. #SlavaUkraini #StandWithUkraine️ https://t.co/NoMY8lOiaN,support ukrainian tweet slavaukraini https nomy loian
4,0.4623,"ukraine, war, nazi, https, call, support, happen, fact, side, win","Check out this ""God Bless Ukraine"" song video ..... https://t.co/cxhXRSXGBT",check god_bless video cxhxrsxgbt
7,0.5614,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force","In October 2016, Russia’s Security Council called for the creation of a special center that would produce approved versions of Russian history to combat ‘falsifications’ from the West and from former Soviet republics.",call creation special center produce approve version russian history combat falsification soviet republic
7,0.2644,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force","The Nazis knew his leadership drove the Ukrainian forces. He was too dangerous to be loose, and too valuable to be killed.",nazi know leadership drive ukrainian force dangerous loose valuable kill
7,0.3004,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force",That would be the Ukrainians who sent Nazis to kill ethnic Russians for 8 years.,ukrainian nazi kill ethnic year
4,0.5573,"ukraine, war, nazi, https, call, support, happen, fact, side, win","I’m sure it’s pure coincidence…just like it’s coincidence the same people are also anti-vaxers, believe Alex Jones’ Sandy Hook conspiracy, believe the election was stolen by pandas, or Venezuelans, or mules, space lasers, and dammit Donald loves Russian orphans, not Putin.",pure coincidence coincidence people vaxer sandy hook conspiracy election steal panda mule space laser dammit love russian
7,0.1746,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force",Itumbi is the Lord of propaganda,
5,0.3242,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official","Really? Russian society is not monolithic, but one of the widespread opinions is that «we lived in times of poverty, we will survive now». And the photos of the fighting shock the russians. But they just think Ukraine did it. If you want to reduce support, show people the truth.",russian society monolithic widespread opinion live time poverty survive photo fight shock reduce support people truth
1,0.3002,"time, fight, https, join, state, land, wrong, find, economy, invade",The question now is: How bad does Russia want its defeat in Ukraine to be?,question bad defeat ukraine
0,0.3621,"invasion, money, support, soldier, leave, year, start, direct, pay, shit",My views align with the behavior analysis of Putin. Why didn’t he invade Finland now they joined NATO? Is Ukraine NATO? Putin has been attacking Ukraine for decades. Cyber attacks that cripple their infrastructure since 2000s.,view align behavior analysis invade join attack decade attack cripple infrastructure
7,0.2838,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force",This is from a Ukrainian documentary I think. ,ukrainian documentary
0,0.4292,"invasion, money, support, soldier, leave, year, start, direct, pay, shit",The Wagner s leader has arrived in Donbas. What will start soon ? 🙄🤔..,wagner leader arrive start
1,0.3001,"time, fight, https, join, state, land, wrong, find, economy, invade",Name sources or join the propaganda club.,source join propaganda club
7,0.3381,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force",You are in pain all lies and propaganda exposed …. 🤣🤣🤣🤣🤣🤣🤣,pain lie propaganda expose
5,0.5493,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official",why there is delay with DMCA and takedowns of pages running scams and fake propaganda on ,delay dmca takedown run fake propaganda
0,0.3163,"invasion, money, support, soldier, leave, year, start, direct, pay, shit","I don t agree with iraq invasion in 2003 but iraq should have been invaded in 1991 ( during ops desert storm) to remove Saddam. After 911 attack, US was going to attack any threats; Iraq was number one 1 on the list. It was a different situation....",agree invasion invade desert storm remove attack number list situation
5,0.2968,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official",Same old propaganda.,propaganda
5,0.3377,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official",So you have asked questions. Good. Have you received any answers besides the two wildly different accounts that have been provided to the public by the Ukrainian government?,ask question good receive answer wildly account provide public ukrainian government
3,0.2781,"https, lie, troop, hold, ukraine, vote, guy, save, real, speak",Putin install him and own him,install
2,0.2509,"https, military, medium, shell, power, missile, claim, strike, bomb, government",Shelling of Ukraine’s Zaporizhzhia Nuclear Plant Raises Fears and Outrage https://t.co/JIwLYoJmS0 https://t.co/kB6KOuOdRd,shell ukraine plant raise fear outrage
4,0.4497,"ukraine, war, nazi, https, call, support, happen, fact, side, win","Today I’m playing Ukraine tournament, with / Tournament UTC+3. the broadcast will take place on the channel valorant_ua / today we will show a good valorant",play tournament
5,0.247,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official",You mean like the Ghost of Kiev?,ghost kiev
4,0.4083,"ukraine, war, nazi, https, call, support, happen, fact, side, win",i heard that Ukraine was suffering casualties- anything on that number?,hear ukraine suffering casualty number
3,0.3477,"https, lie, troop, hold, ukraine, vote, guy, save, real, speak","Yet Swastika wearing Ukrainians are supported by Biden whose White House press corps memes him under a reichangel captioned ""Dark Brandon Rising",swastika wear ukrainian support caption rise
4,0.6065,"ukraine, war, nazi, https, call, support, happen, fact, side, win","And none of them have been great Guy is old as shit, talks out of both sides of his mouth, and has been friends with Putin since before the ussr fell Howd his iraq war advice work out? How about his advice to trump to give up crimea, and cosy up to Russia to drive a wedge",talk side mouth friend fall war advice work advice trump cosy wedge
0,0.5438,"invasion, money, support, soldier, leave, year, start, direct, pay, shit","Goodies and baddies and a simple view of the world for simpletons. I m no fan of Putin. But how many countries has the USA bombed since 1948? Must be at least 30 by now. I ve seen the carnage for myself, in Vietnam.",goody baddie simple view simpleton bomb
7,0.5332,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force","🇷🇺💥 Russian [Russian Federation and #Donbas forces] troops continue to advance in the direction of #Artyomovsk: the village of Vershina has already been liberated from #Kiev s usurpers, and mopping-up operations are underway in Zaitsevo. 1/4 https://t.co/tbvCvlkflF",force troop continue advance direction usurper mop operation underway https
7,0.5846,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force",Keilar to GOP lawmaker: Do you take home documents marked  special access ? https://t.co/PbgKLnumFS #Biden #CNN #India #World #saudi #twitter #Movie #BB #Breaking #StrongerTogether #Vote #News #China #USA #UK #Russia #Ukraine #WW3 #Putin #Sweden,keilar lawmaker document mark special access https news sweden
6,0.3493,"country, day, attack, lose, leader, sanction, death, good, tell, read","Of course you do. Read a book dude, your propaganda farms aren’t your friend.",read book dude propaganda farm friend
1,0.5245,"time, fight, https, join, state, land, wrong, find, economy, invade",Like many before him Mick s 15 minutes of fame has gone straight to his head. https://t.co/FqfguOYkEb,minute fame straight head https fqfguoykeb
0,0.5498,"invasion, money, support, soldier, leave, year, start, direct, pay, shit","The Danger of NATOS Undeclared War With Russia - Global Forecaster predicts that history will view Russia’s invasion of #Ukraine as the start of #WW3. A war between the autocratic powers of #Russia, #China... https://t.co/Up1B2wkU0C by #geopolitics https://t.co/UdeKleixLX",danger undeclare war global predict history view invasion start autocratic power geopolitic https udekleixlx
4,0.511,"ukraine, war, nazi, https, call, support, happen, fact, side, win","no no no... fact checker... you need to be a fact checker. On my old account I ran into one who melted down when Musk was buying twitter. After calling me all sorts of names, finally hittting nazi and told me to go research WWII, in the 1950 s. Uh, yeah, bless her heart.",checker melt musk buying twitter call sort name hittte nazi tell bless heart
0,0.3511,"invasion, money, support, soldier, leave, year, start, direct, pay, shit",Defense department and the defense contractors involved in the millions of dollars going to Ukraine to help with the war are corrupt and 70% of the equipment the money was supposed to buy never makes it to the battlefield. It’s all about politicians and businessman making money.,defense contractor involve million dollar ukraine war corrupt equipment money suppose buy battlefield politician businessman make money
6,0.5638,"country, day, attack, lose, leader, sanction, death, good, tell, read","With the cost of switching to a new provider raised by that monopoly effect suddenly it becomes really important to keep the one you ve got on good terms. That means whoever runs Compliance, Monitoring, &amp; Enforcement for that service has an incentive to avoid issuing sanctions 5/",cost switching provider raise monopoly suddenly good term run compliance monitor amp enforcement service incentive avoid issue sanction
5,0.4215,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official",We would be deluding ourselves if we believe this is exactly what happened. Waldman is a shady lawyer who was involved in the Mueller report about Russia helping Trump get elected. This is alt right stuff for real. https://t.co/uIm9Iib8Mn,delude happen lawyer involve mueller report help trump elect alt stuff real https mn
4,0.3368,"ukraine, war, nazi, https, call, support, happen, fact, side, win",Ukraine flag in bio... not only a sign of bad political takes!,sign bad political take
4,0.2563,"ukraine, war, nazi, https, call, support, happen, fact, side, win","""My name is Eva. I cherry-pick the 1% of stories that make Ukraine look bad as it attempts to defend itself in a brutal, genocidal invasion by Russia. I ignore the 100s (or 1000s) of war crimes by Russia, such as shelling Ukraine cities from a nuclear facility. I m quite evil.""",pick story ukraine bad attempt defend brutal genocidal invasion ignore war crime shell ukraine city nuclear facility evil
4,0.5439,"ukraine, war, nazi, https, call, support, happen, fact, side, win",Remember when he took the notes away from the only other person in the room during a meeting with Putin? How about days after his election when he kicked the Press out of the room where he met with Russians? How many times did this sort of thing happen?,remember note person room meeting kick press room meet time sort happen
4,0.4874,"ukraine, war, nazi, https, call, support, happen, fact, side, win",It’s not dubious. It will have high symbolic value for people who are now sitting safely in Moskva and Saint Petersburg - while their ethnic minorities are dying in their leaders war. They will have to renounce the regime or stay out. IT experts we can find in many countries. .,dubious high symbolic people sit safely moskva saint petersburg ethnic minority die leader war renounce regime stay expert find country
0,0.4054,"invasion, money, support, soldier, leave, year, start, direct, pay, shit",To pay off his debt to Putin,pay debt
7,0.4637,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force",As the Ukrainian UN man said If he wants to kill himself why doesn t he do what the guy did in Berlin in 1945,ukrainian man kill guy
5,0.4234,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official",Putin runs a #mafiastate and turns his army loose on Ukraine. We seize his toys wherever we can. https://t.co/udVXujLHdA,run mafiastate turn seize toy https udvxujlhda
3,0.4848,"https, lie, troop, hold, ukraine, vote, guy, save, real, speak",The US kept Vietnam frozen with fiscal spending of ~1% of GDP and that was 5 decades ago; Russia can t hold Kiev in Russia now,freeze fiscal spend gdp decade ago hold
6,0.4721,"country, day, attack, lose, leader, sanction, death, good, tell, read",Amir khan is main director and writer of every film he act or else he doesn t take the movie.eveybody knows that.but reason for boycotting him is not because he insulted Hinduism but because he is very biased (can t make fun of his own religion) and he has propaganda in his mind. https://t.co/IGpUyfHCZv,main director writer film movie eveybody reason boycott insult hinduism bias fun religion propaganda
2,0.4111,"https, military, medium, shell, power, missile, claim, strike, bomb, government","If #PutinWarCriminal can t stop #EU from banning #Russians from #EU, how does that make him look to them? Weak, that s how. #visabanforrussians",ban weak
5,0.4222,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official",News Flash: Propaganda arm of Trump admin declares Politico to be propaganda arm of Biden admin. Details at 11:00.,news flash propaganda arm declare politico propaganda arm detail
3,0.3044,"https, lie, troop, hold, ukraine, vote, guy, save, real, speak","38,297 cars have crossed the Crimea bridge on 15th August, Russian state media TASS reports, citing the local department of road management. Somehow they failed to mention in which direction most of the traffic was headed - I wonder why... https://t.co/9S1inQtbXX",car cross russian state medium tass report cite local department road management fail mention direction traffic head
4,0.5153,"ukraine, war, nazi, https, call, support, happen, fact, side, win",Ukraine: Young volunteers organising  clean-up-raves  to rebuild cities ... https://t.co/RjCWD6K5Tv via ,ukraine young volunteer organise clean rave rebuild rjcwd tv
5,0.3551,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official","Labour are still worse, it’s all propaganda..",labour bad propaganda
1,0.4459,"time, fight, https, join, state, land, wrong, find, economy, invade","No, you get this one wrong, he s complaining, that there is not enough delivered to Ukraine. Badly worded... 🙄 He s a journalist for the German shit-newspaper Bild but not really pro-RuZZian. 🤷‍♂️",wrong complaining deliver ukraine badly word journalist german bild ruzzian
5,0.3875,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official",The entire thing brainless Nazi puppet toy😁,entire brainless nazi puppet toy
7,0.1746,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force",Lol I did. Have you tried looking into it instead of taking the propaganda like a goldfish?,
4,0.4578,"ukraine, war, nazi, https, call, support, happen, fact, side, win","The  go to  defence mechanism: anyone who disagrees with a Moskal is a  nazi . They are incapable of looking at their own behaviour, always blaming something external. Simply an arrested development of an entire nation s psyche",defence mechanism disagree moskal nazi incapable behaviour blame external simply arrest development entire nation psyche
3,0.3418,"https, lie, troop, hold, ukraine, vote, guy, save, real, speak","Russians fleeing Crimea after explosions – 38,000 cars per day on Kerch bridge. 175th day of war https://t.co/AFX1p071eU #StandForUkraine",flee explosion car
2,0.4619,"https, military, medium, shell, power, missile, claim, strike, bomb, government","CheckoutIreland: The first ship to depart Ukraine under a deal to resume grain exports from the country two weeks ago docked in the Syrian port city of Tartous on Tuesday, according to a shipping source and satellite data. https://t.co/R9kbhniSd0",checkoutireland ship deal resume grain export country week ago dock syrian port city tartous shipping source satellite datum https kbhnisd
3,0.3521,"https, lie, troop, hold, ukraine, vote, guy, save, real, speak","Those were not monuments to communist leaders or political ideologies. They were, clearly, symbols of the very high price the Soviet troops paid for the liberation of Estonia from the German Nazis, which Estonia had joined.. No evidence they were ""sources of tensions"", don t lie",monument leader political ideology symbol high price soviet troop pay liberation german join evidence source tension lie
6,0.2234,"country, day, attack, lose, leader, sanction, death, good, tell, read",Newsweek: WW3 Has Already Started | Opinion. https://t.co/aFtb1eFb4S via ,start opinion https
5,0.5568,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official","We all need equal rights &amp; opportunities regardless of our age and gender,but it s quiet sad that who make others refugee are ignored instead they re funded &amp; is responsible for all Congo &amp; other refugees in Uganda. #StopSponsoringOurOppression 🇺🇬 https://t.co/p4n0AxUt3j",equal right amp opportunity age gender quiet sad refugee fund amp responsible congo amp refugee https axut
3,0.4569,"https, lie, troop, hold, ukraine, vote, guy, save, real, speak","Vatican News: The Pope: let us entrust Ukraine and the fate of the world to Mary. Shortly before concluding the general audience, Francis asked again not to forget the war in the Eastern European country.",shortly conclude general audience ask forget war eastern european country
6,0.5939,"country, day, attack, lose, leader, sanction, death, good, tell, read",💥Watch Live Stream FC ⚽️ Maccabi Haifa vs Red Star Belgrade ⚽️ Dynamo Kyiv vs Benfica ⚽️ Royal AM vs Orlando Pirates ⚽️ Sheffield United vs Sunderland ⚽️ Stoke City vs Middlesbrough ⚽️ West Bromwich Albion vs Cardiff City ⭕Live Link 👉: https://t.co/uOJPj5hGjH ➤ 🥔 ➤,watch live stream fc maccabi pirate sheffield city albion cardiff city uojpj
7,0.3381,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force","Thank you for your support from all Ukrainians , sending all our love to you ♥️",support ukrainian send love
0,0.4054,"invasion, money, support, soldier, leave, year, start, direct, pay, shit",HERES TO MORE TINK HERES TO MORE NATO HERES TO MORE TINK HERE TO MORE NATO https://t.co/c7eQeUmSuL,tink tink
4,0.3649,"ukraine, war, nazi, https, call, support, happen, fact, side, win",What Next for African Students who Fled Ukraine? | - Sign the Petition! https://t.co/YYin7QSFtB via ,african student flee ukraine sign qsftb
0,0.5295,"invasion, money, support, soldier, leave, year, start, direct, pay, shit","Unfortunately for Lebanon, the govt can provide no response at risk of war and invasion other than sternly worded complaints, rhetoric, and increase in Hezbollah influence that will solve little for either Israel or Lebanon. Such is life in MENA.",response risk war invasion sternly word complaint rhetoric increase influence solve mena
4,0.2953,"ukraine, war, nazi, https, call, support, happen, fact, side, win",Six months into the Ukraine war Russia s film industry is on life support https://t.co/Xk8eIp99Z5 https://t.co/hYtu5m6lsW,month ukraine war film industry life support https lsw
6,0.2826,"country, day, attack, lose, leader, sanction, death, good, tell, read",Those imperialists are now based in my country 🤦🏻 Also whining about us not helping “good russians” and complaining we’re planning to demolish big statue built in soviet times from “donations” 😂🤦🏻,imperialist base country whine help good complain planning demolish big statue build soviet time donation
7,0.3381,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force",Ukraine: Russia is getting ready to do something at Europe s largest nuclear power plant tomorrow.,ukraine large nuclear power_plant
7,0.3922,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force","Let s consider Ukraine lands were gifted to them by previous Russian regimes, Kyiv used to be Russia s capital, all the east, south and north was Russia before, who s house am I living in? Poland used to be east Ukr... Who s house again?",land gift previous russian regime kyiv live house
0,0.3408,"invasion, money, support, soldier, leave, year, start, direct, pay, shit","Great foreign policy actions? he adored Kim Jong UN and Putin. He didn t care about all Americans, only his cult. And his delayed response to covid killing 800,000 Americans to top it off.",foreign_policy action adore cult delay response covid kill top
0,0.5724,"invasion, money, support, soldier, leave, year, start, direct, pay, shit","What a bizarre thing to say. How morally lost do you have to be to not understanding wanting to refute false accusations of genocide, that are supporting sanctions meant to recreate the unrest that China has been undoing with vocational and language training in XJ",bizarre morally lose understanding want refute false accusation genocide support sanction mean recreate unrest undo vocational language training
5,0.4147,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official",next! Their propaganda with the help of and tundun is alarming,propaganda alarm
3,0.4208,"https, lie, troop, hold, ukraine, vote, guy, save, real, speak","You actually forgot something to add something very important to the equation. Add the role of the F-16, with that Ukraine will have the most versatile jet and actually way better than anuthing the VVS can put up in that field. Getting air dominance will tip the scale really fast",add equation add role ukraine versatile jet anuthe vvs field air dominance scale fast
2,0.4842,"https, military, medium, shell, power, missile, claim, strike, bomb, government","In #Energodar, the defenses of the #Zaporozhye NPP were reinforced as Ukraine is planning an attack on the nuclear power facility. https://t.co/VTk5z4A53D",defense npp reinforce ukraine planning attack nuclear power facility https vtk
4,0.4874,"ukraine, war, nazi, https, call, support, happen, fact, side, win",I do t know who needs to hear this but……. THIS VID IS LIT 🔥 https://t.co/UM9iMn6FNy #nsfwtw #Ukraine️ #ContentCreator #bnwo #bbc #gothkink #BBC #drool #feet #interacialcouple #lingeriehaul #cosplay https://t.co/HvglJ5X7T0,hear light https cosplay hvglj
4,0.282,"ukraine, war, nazi, https, call, support, happen, fact, side, win",Spoken like a true Nazi!,speak nazi
6,0.3882,"country, day, attack, lose, leader, sanction, death, good, tell, read",You wanted Ukraine to be the front line defense for EU. You wanted Ukraine to join nato so that you could choke Russia. Russia was too smart for you. You victimized Ukraine.,want want join victimize ukraine
2,0.4148,"https, military, medium, shell, power, missile, claim, strike, bomb, government","Australia to deliver 300 DefendTex D40 munition to Ukraine. Another US military aid package for Ukraine worth $800 million on the way.Ukraine will receive 15 Sky Eagle drones, HARM anti-radar missiles, TOW anti-tank complexes and 1,000 Javelins from the United States.",deliver defendtex munition receive drone harm anti radar missile anti tank complex javelin united_state
5,0.3972,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official",Gmod Zombie Invasion and Neo Team Fortress,team fortress
4,0.4708,"ukraine, war, nazi, https, call, support, happen, fact, side, win",Basically untrue but you support the extortion payments to Ukraine. Your words are worthless.,basically untrue support extortion payment ukraine worthless
4,0.3629,"ukraine, war, nazi, https, call, support, happen, fact, side, win",Vladimir Putin &amp; Xi Jinping ‘to attend G20 summit’ setting scene for showdown as White House calls for Zelensky to join https://t.co/LkpBmf04b7,attend summit set scene call join https
4,0.3711,"ukraine, war, nazi, https, call, support, happen, fact, side, win","In the aftermath of Chernobyl, workers involved in cleaning operations and first responders were exposed to the highest doses of radiation",worker involve clean operation responder expose high dose radiation
4,0.3695,"ukraine, war, nazi, https, call, support, happen, fact, side, win",In reality the West has come off second best and the worst of it is it is by their own crass stupidity rather than any master stroke from Putin,reality west bad crass stupidity master
